"","X.Cuvash.","X.Karachai.","X.Kazakh.","X.Khakass.","X.Kirghiz.","X.SouthAltaic.","X.Tatar.","X.Turkish.","X.Turkmen.","X.Tuvan.","X.Uzbek.","X.Yakut."
"1","1","0","1","1","1","0","1","1","1","1","1","1"
"2","1","1","1","0","1","0","1","0","0","0","1","0"
"3","1","1","1","1","1","1","1","0","1","1","1","1"
"4","1","0","1","0","1","0","1","0","0","0","0","0"
"5","1","1","1","1","1","1","1","1","1","1","1","1"
"6","1","1","1","1","1","1","1","1","1","1","1","1"
"7","0","1","1","0","1","0","1","0","0","0","0","0"
"8","0","1","1","0","1","0","0","1","1","0","1","0"
"9","1","1","0","0","0","0","1","1","1","0","1","0"
"10","0","0","0","1","0","0","0","1","1","0","1","1"
"11","1","1","1","0","1","0","1","1","1","0","1","0"
"12","1","0","1","0","1","0","1","1","1","1","1","1"
"13","0","0","1","0","1","0","0","0","1","0","1","0"
"14","0","0","0","0","0","0","0","1","0","0","1","1"
"15","0","1","0","0","0","0","0","1","1","0","1","0"
"16","1","1","1","1","1","0","0","1","1","0","1","0"
"17","0","1","1","1","1","0","1","1","1","1","1","1"
"18","1","1","1","1","1","0","1","1","1","1","1","0"
"19","0","1","1","1","1","0","1","1","1","1","1","0"
"20","1","1","1","1","1","0","1","1","1","1","1","0"
"21","0","0","1","0","1","1","0","1","1","1","1","1"
"22","1","1","1","0","0","0","1","1","1","0","1","0"
"23","0","1","1","1","1","0","1","1","1","0","1","0"
"24","0","1","1","0","1","1","1","1","1","1","1","0"
"25","1","0","1","1","1","1","1","1","1","1","1","1"
"26","1","1","1","1","1","0","1","1","1","1","1","1"
"27","1","1","1","1","1","0","1","1","1","1","1","1"
"28","1","1","1","1","1","0","1","1","1","1","1","1"
"29","1","1","1","1","1","0","1","1","1","0","1","0"
"30","0","1","1","1","0","0","1","1","1","1","1","1"
"31","1","1","1","1","1","1","1","1","1","1","1","1"
"32","1","1","1","1","1","1","1","1","1","1","1","1"
"33","0","0","0","0","1","0","0","0","0","1","0","0"
"34","0","0","1","0","1","0","0","0","0","1","0","1"
"35","1","1","1","1","1","1","1","1","1","1","1","0"
"36","1","1","1","1","1","1","1","1","1","1","1","1"
"37","1","1","1","1","1","1","1","1","1","1","1","1"
"38","0","0","1","1","1","1","1","0","0","1","1","1"
"39","1","1","1","1","1","1","1","1","1","0","1","0"
"40","1","1","1","1","1","0","1","1","1","1","1","1"
"41","0","1","1","1","1","1","1","1","1","1","1","1"
"42","1","1","1","1","0","0","1","1","1","0","1","0"
"43","1","1","1","1","1","0","1","1","1","1","1","0"
"44","0","1","1","0","1","1","1","0","0","1","1","0"
"45","1","1","1","1","1","0","1","1","1","1","1","1"
"46","1","1","1","1","1","1","1","1","1","1","1","1"
"47","0","1","1","1","1","0","1","1","0","0","1","0"
"48","0","0","1","0","1","0","0","1","0","0","0","0"
"49","1","1","1","1","1","0","1","1","1","1","1","1"
"50","0","1","1","0","0","0","1","1","1","0","1","0"
"51","0","0","0","1","0","0","0","0","0","1","0","1"
"52","1","1","1","1","1","1","1","1","1","1","1","1"
"53","0","0","1","1","1","0","1","0","0","1","1","0"
"54","0","1","1","0","0","0","1","0","0","0","0","0"
"55","0","1","1","1","1","1","1","1","0","1","1","1"
"56","0","0","1","0","1","0","0","1","1","0","1","0"
"57","0","1","1","0","0","1","1","1","1","1","0","1"
"58","0","0","1","0","1","1","0","1","1","0","0","0"
"59","0","0","0","1","1","1","0","0","0","0","0","0"
"60","1","1","1","0","1","0","1","1","1","0","1","0"
"61","0","1","1","0","1","0","0","1","1","0","0","0"
"62","0","1","1","1","1","0","1","1","0","0","1","0"
"63","0","1","1","1","1","1","0","0","0","1","1","1"
"64","1","1","1","0","1","1","1","1","1","0","1","0"
"65","1","1","1","1","1","1","1","1","0","0","1","0"
"66","0","1","0","1","1","1","1","1","1","1","0","0"
"67","1","1","1","1","1","0","1","1","1","1","1","1"
"68","0","0","1","1","1","1","0","1","1","1","0","0"
"69","0","0","0","1","1","1","0","1","0","1","0","1"
"70","0","1","1","1","1","1","1","0","1","1","1","1"
"71","0","1","1","1","1","0","1","0","1","1","1","1"
"72","1","1","0","0","1","0","1","1","0","0","1","0"
"73","0","0","1","0","1","0","1","0","1","0","0","1"
"74","1","0","1","0","1","0","0","1","0","0","1","0"
"75","1","0","1","0","0","0","0","0","1","0","0","0"
"76","0","1","1","0","1","0","1","1","1","0","1","1"
"77","0","0","0","0","0","0","0","1","0","0","0","0"
"78","0","1","1","0","1","0","1","1","1","0","1","1"
"79","0","1","1","1","1","1","0","0","0","1","0","1"
"80","1","1","0","1","1","0","1","1","1","0","1","0"
"81","0","0","1","0","0","0","0","0","1","0","1","0"
"82","0","0","0","1","0","0","0","0","0","0","0","1"
"83","1","1","1","1","1","1","1","1","1","1","1","0"
"84","0","1","1","1","1","0","1","1","1","1","1","0"
"85","0","1","1","1","1","1","0","1","1","0","1","0"
"86","1","1","1","1","1","1","1","1","1","1","1","0"
"87","1","1","1","0","1","1","1","1","1","1","1","1"
"88","0","0","0","0","0","0","0","1","0","0","1","0"
"89","0","1","1","1","1","1","1","1","0","0","1","1"
"90","1","1","1","1","1","1","1","1","1","1","1","1"
"91","0","0","0","1","0","0","0","0","0","1","0","1"
"92","1","1","1","1","0","0","1","1","1","1","1","1"
"93","0","1","1","1","1","1","1","0","0","0","1","1"
"94","0","0","1","0","1","1","0","0","0","1","0","0"
"95","1","1","1","1","1","0","1","0","0","0","1","1"
"96","0","0","1","1","1","1","1","0","0","0","1","0"
"97","0","0","0","0","1","1","0","0","0","1","0","0"
"98","0","0","0","1","0","0","0","0","1","1","1","0"
"99","0","1","1","0","1","0","1","0","0","1","1","0"
"100","1","0","0","1","0","0","0","1","1","0","0","0"
"101","0","1","1","1","1","1","1","1","1","1","1","1"
"102","1","1","1","1","1","0","1","1","1","1","1","0"
"103","0","0","0","0","0","0","0","1","0","0","1","0"
"104","1","1","1","1","1","1","1","1","1","1","1","1"
"105","1","1","1","1","1","1","1","1","1","1","1","1"
"106","1","0","1","1","1","1","1","1","0","1","1","1"
"107","0","0","0","0","1","0","0","0","0","1","0","0"
"108","0","1","1","1","1","1","1","1","1","0","1","0"
"109","1","1","0","0","0","1","1","1","0","1","1","0"
"110","0","1","1","1","1","1","1","1","1","1","1","1"
"111","0","0","1","1","1","1","0","1","1","1","1","1"
"112","0","1","1","1","1","0","1","1","1","1","1","1"
"113","1","0","1","1","0","0","0","0","0","0","0","1"
"114","0","1","1","0","0","0","1","1","1","1","1","0"
"115","1","1","1","0","1","0","1","1","1","0","1","0"
"116","1","1","1","1","1","0","1","1","1","1","1","0"
"117","1","1","0","1","1","1","1","1","0","1","0","0"
"118","0","1","0","1","0","0","0","1","1","1","1","1"
"119","1","1","1","1","1","1","1","1","0","1","1","0"
"120","0","1","1","0","1","0","1","1","1","0","1","0"
"121","1","1","0","0","1","0","1","1","0","1","1","0"
"122","1","1","1","0","1","0","1","0","0","0","1","0"
"123","0","1","1","1","1","1","1","1","1","1","1","1"
"124","1","1","1","1","1","1","1","1","1","1","1","1"
"125","1","1","0","0","0","0","1","1","1","0","1","0"
"126","1","1","1","0","1","1","1","1","1","0","1","0"
"127","1","1","1","1","1","0","1","1","1","1","1","1"
"128","1","1","1","1","1","1","1","1","1","1","1","1"
"129","1","1","1","1","1","0","1","1","1","1","1","1"
"130","1","1","1","0","1","0","1","1","1","1","1","0"
"131","1","1","1","1","1","1","1","1","1","1","1","1"
